date,time,Total kW,Total kVA,Total kVAr,PF
2021-02-27,05:00:00,18700.0,20250.0,7769.974259931625,0.9234567901234568
2021-02-27,06:00:00,18380.0,20020.0,7935.741931287836,0.9180819180819181
2021-02-27,07:00:00,17470.0,18890.0,7185.485369827149,0.9248279512969825
2021-02-27,08:00:00,16370.0,17980.0,7436.6323023261,0.9104560622914349
2021-02-27,09:00:00,16690.0,18430.0,7817.211779144786,0.9055887140531742
2021-02-27,10:00:00,17160.0,18740.0,7531.40093209756,0.9156883671291356
2021-02-27,11:00:00,18010.0,19730.0,8056.848018921543,0.9128231120121643
2021-02-27,12:00:00,18530.0,20250.0,8167.104750154733,0.9150617283950617
2021-02-27,13:00:00,18710.0,20360.0,8029.041038629707,0.918958742632613
2021-02-27,14:00:00,19260.0,20870.0,8037.991042542906,0.9228557738380451
2021-02-27,15:00:00,19210.0,20800.0,7975.957622756028,0.9235576923076924
2021-02-27,16:00:00,19150.0,20980.0,8569.591588868165,0.9127740705433747
2021-02-27,17:00:00,18060.0,19860.0,8261.718949468082,0.9093655589123867
2021-02-27,18:00:00,18280.0,20010.0,8138.900417132526,0.9135432283858071
2021-02-27,19:00:00,20090.0,21600.0,7934.2233394327895,0.9300925925925926
2021-02-27,20:00:00,22310.0,23520.0,7446.764398045637,0.9485544217687075
2021-02-27,21:00:00,22720.0,23780.0,7020.683727387241,0.9554247266610597
2021-02-27,22:00:00,22560.0,23670.0,7163.469829628656,0.9531051964512041
2021-02-27,23:00:00,21390.0,22490.0,6947.517542259249,0.951089373054691
2021-02-28,00:00:00,20280.0,21420.0,6894.780634654014,0.9467787114845938
2021-02-28,01:00:00,19740.0,20980.0,7105.828593485773,0.9408960915157293
2021-02-28,02:00:00,17280.0,18400.0,6321.5188048442915,0.9391304347826087
2021-02-28,03:00:00,17880.0,19080.0,6659.729724245572,0.9371069182389937
2021-02-28,04:00:00,17530.0,18700.0,6510.691207544711,0.9374331550802139
2021-02-28,05:00:00,17200.0,18360.0,6422.585149299307,0.9368191721132898
2021-02-28,06:00:00,17240.0,18380.0,6372.346506586095,0.9379760609357998
2021-02-28,07:00:00,17120.0,18290.0,6436.590712481259,0.9360306178239475
2021-02-28,08:00:00,16790.0,18140.0,6866.986238518321,0.9255788313120177
2021-02-28,09:00:00,17030.0,18560.0,7379.207274497715,0.9175646551724138
2021-02-28,10:00:00,16810.0,18470.0,7652.764206481211,0.910124526258798
2021-02-28,11:00:00,16650.0,18360.0,7737.383278602657,0.9068627450980392
2021-02-28,12:00:00,16890.0,18480.0,7499.219959435781,0.913961038961039
2021-02-28,13:00:00,17650.0,19150.0,7429.670248402684,0.9216710182767625
2021-02-28,14:00:00,17970.0,19440.0,7415.706304864021,0.9243827160493827
2021-02-28,15:00:00,18600.0,20200.0,7879.086241436884,0.9207920792079208
2021-02-28,16:00:00,17670.0,19090.0,7224.901383410019,0.925615505500262
2021-02-28,17:00:00,17980.0,19580.0,7752.160989040411,0.9182839632277835
2021-02-28,18:00:00,17350.0,18810.0,7265.920450982106,0.9223817118553961
2021-02-28,19:00:00,19090.0,20340.0,7020.505679792589,0.9385447394296952
2021-02-28,20:00:00,21670.0,22770.0,6991.709376111109,0.9516908212560387
2021-02-28,21:00:00,22310.0,23330.0,6822.961233951135,0.9562794684954994
2021-02-28,22:00:00,21930.0,22940.0,6731.9165176047745,0.9559721011333915
2021-02-28,23:00:00,20870.0,21930.0,6735.577183879642,0.9516643866849065
2021-01-03,00:00:00,19890.0,21110.0,7072.481884034769,0.9422074846044529
2021-01-03,01:00:00,18990.0,20250.0,7031.528994464859,0.9377777777777778
2021-01-03,02:00:00,18330.0,19550.0,6798.058546379253,0.9375959079283888
2021-01-03,03:00:00,17980.0,19220.0,6791.75971306406,0.9354838709677419
2021-01-03,04:00:00,17640.0,18890.0,6757.403347440494,0.9338274219163578
2021-01-03,05:00:00,17450.0,18670.0,6638.252782170923,0.934654525977504
